INSIDE FIBER 4 WITH SIZE 12:
INSIDE FIBER 272 WITH SIZE 2:
NODE 599 receives from fiber(node,type): 273(598,0) -1(379,0) 
NODE 597 receives from fiber(node,type): 273(598,0) -1(379,0) 

INSIDE FIBER 276 WITH SIZE 11:
NODE 42 receives from fiber(node,type): 276(572,0) 
NODE 471 receives from fiber(node,type): 276(572,0) 
NODE 570 receives from fiber(node,type): 276(572,0) 
NODE 571 receives from fiber(node,type): 276(572,0) 
NODE 572 receives from fiber(node,type): 276(572,0) 
NODE 573 receives from fiber(node,type): 276(572,0) 
NODE 574 receives from fiber(node,type): 276(572,0) 
NODE 810 receives from fiber(node,type): 276(572,0) 
NODE 821 receives from fiber(node,type): 276(572,0) 
NODE 838 receives from fiber(node,type): 276(572,0) 
NODE 868 receives from fiber(node,type): 276(572,0) 

INSIDE FIBER 279 WITH SIZE 3:
NODE 140 receives from fiber(node,type): 276(572,1) 
NODE 577 receives from fiber(node,type): 276(572,1) 
NODE 671 receives from fiber(node,type): 276(572,1) 

INSIDE FIBER 294 WITH SIZE 26:
NODE 128 receives from fiber(node,type): 294(408,1) 
NODE 193 receives from fiber(node,type): 294(408,1) 
NODE 194 receives from fiber(node,type): 294(408,1) 
NODE 195 receives from fiber(node,type): 294(408,1) 
NODE 197 receives from fiber(node,type): 294(408,1) 
NODE 276 receives from fiber(node,type): 294(408,1) 
NODE 359 receives from fiber(node,type): 294(408,1) 
NODE 385 receives from fiber(node,type): 294(408,1) 
NODE 408 receives from fiber(node,type): 294(408,1) 
NODE 580 receives from fiber(node,type): 294(408,1) 
NODE 602 receives from fiber(node,type): 294(408,1) 
NODE 632 receives from fiber(node,type): 294(408,1) 
NODE 633 receives from fiber(node,type): 294(408,1) 
NODE 634 receives from fiber(node,type): 294(408,1) 
NODE 653 receives from fiber(node,type): 294(408,1) 
NODE 667 receives from fiber(node,type): 294(408,1) 
NODE 706 receives from fiber(node,type): 294(408,1) 
NODE 716 receives from fiber(node,type): 294(408,1) 
NODE 755 receives from fiber(node,type): 294(408,1) 
NODE 762 receives from fiber(node,type): 294(408,1) 
NODE 763 receives from fiber(node,type): 294(408,1) 
NODE 764 receives from fiber(node,type): 294(408,1) 
NODE 784 receives from fiber(node,type): 294(408,1) 
NODE 785 receives from fiber(node,type): 294(408,1) 
NODE 814 receives from fiber(node,type): 294(408,1) 
NODE 819 receives from fiber(node,type): 294(408,1) 

INSIDE FIBER 300 WITH SIZE 3:
NODE 643 receives from fiber(node,type): 300(388,1) 
NODE 388 receives from fiber(node,type): 300(388,1) 
NODE 223 receives from fiber(node,type): 300(388,1) 

INSIDE FIBER 306 WITH SIZE 2:
NODE 236 receives from fiber(node,type): 307(239,1) 92(53,1) 
NODE 234 receives from fiber(node,type): 307(239,1) 92(53,1) 

INSIDE FIBER 307 WITH SIZE 5:
NODE 3 receives from fiber(node,type): 307(239,0) 
NODE 5 receives from fiber(node,type): 307(239,0) 
NODE 230 receives from fiber(node,type): 307(239,0) 
NODE 239 receives from fiber(node,type): 307(239,0) 
NODE 793 receives from fiber(node,type): 307(239,0) 

INSIDE FIBER 309 WITH SIZE 2:
NODE 4 receives from fiber(node,type): 307(239,0) 309(4,1) 
NODE 376 receives from fiber(node,type): 309(376,1) 307(239,0) 

INSIDE FIBER 315 WITH SIZE 5:
NODE 215 receives from fiber(node,type): 317(139,1) 
NODE 485 receives from fiber(node,type): 317(139,1) 
NODE 595 receives from fiber(node,type): 317(139,1) 
NODE 735 receives from fiber(node,type): 317(139,1) 
NODE 756 receives from fiber(node,type): 317(139,1) 

INSIDE FIBER 317 WITH SIZE 16:
NODE 862 receives from fiber(node,type): 317(139,0) 
NODE 859 receives from fiber(node,type): 317(139,0) 
NODE 843 receives from fiber(node,type): 317(139,0) 
NODE 818 receives from fiber(node,type): 317(139,0) 
NODE 790 receives from fiber(node,type): 317(139,0) 
NODE 775 receives from fiber(node,type): 317(139,0) 
NODE 697 receives from fiber(node,type): 317(139,0) 
NODE 685 receives from fiber(node,type): 317(139,0) 
NODE 672 receives from fiber(node,type): 317(139,0) 
NODE 585 receives from fiber(node,type): 317(139,0) 
NODE 402 receives from fiber(node,type): 317(139,0) 
NODE 401 receives from fiber(node,type): 317(139,0) 
NODE 275 receives from fiber(node,type): 317(139,0) 
NODE 139 receives from fiber(node,type): 317(139,0) 
NODE 138 receives from fiber(node,type): 317(139,0) 
NODE 90 receives from fiber(node,type): 317(139,0) 

INSIDE FIBER 319 WITH SIZE 3:
NODE 122 receives from fiber(node,type): 319(122,0) 
NODE 291 receives from fiber(node,type): 319(122,0) 
NODE 339 receives from fiber(node,type): 319(122,0) 

INSIDE FIBER 324 WITH SIZE 9:
NODE 423 receives from fiber(node,type): 324(64,1) 
NODE 75 receives from fiber(node,type): 324(64,1) 
NODE 74 receives from fiber(node,type): 324(64,1) 
NODE 64 receives from fiber(node,type): 324(64,1) 
NODE 61 receives from fiber(node,type): 324(64,1) 
NODE 59 receives from fiber(node,type): 324(64,1) 
NODE 58 receives from fiber(node,type): 324(64,1) 
NODE 56 receives from fiber(node,type): 324(64,1) 
NODE 55 receives from fiber(node,type): 324(64,1) 

INSIDE FIBER 327 WITH SIZE 2:
NODE 23 receives from fiber(node,type): 327(23,1) 
NODE 24 receives from fiber(node,type): 327(23,1) 

INSIDE FIBER 334 WITH SIZE 3:
NODE 41 receives from fiber(node,type): -1(379,1) 
NODE 132 receives from fiber(node,type): -1(379,1) 
NODE 759 receives from fiber(node,type): -1(379,1) 

INSIDE FIBER 342 WITH SIZE 3:
NODE 874 receives from fiber(node,type): -1(877,1) 
NODE 873 receives from fiber(node,type): -1(877,1) 
NODE 851 receives from fiber(node,type): -1(877,1) 

INSIDE FIBER 345 WITH SIZE 2:
NODE 374 receives from fiber(node,type): -1(379,0) 
NODE 779 receives from fiber(node,type): -1(379,0) 

INSIDE FIBER 348 WITH SIZE 2:
NODE 105 receives from fiber(node,type): -1(625,0) 
NODE 805 receives from fiber(node,type): -1(625,0) 

INSIDE FIBER 351 WITH SIZE 2:
NODE 800 receives from fiber(node,type): -1(567,1) 
NODE 799 receives from fiber(node,type): -1(567,1) 

INSIDE FIBER 356 WITH SIZE 5:
NODE 180 receives from fiber(node,type): -1(532,0) 
NODE 554 receives from fiber(node,type): -1(532,0) 
NODE 581 receives from fiber(node,type): -1(532,0) 
NODE 816 receives from fiber(node,type): -1(532,0) 
NODE 834 receives from fiber(node,type): -1(532,0) 

INSIDE FIBER 365 WITH SIZE 12:
NODE 815 receives from fiber(node,type): -1(531,1) 
NODE 801 receives from fiber(node,type): -1(531,1) 
NODE 734 receives from fiber(node,type): -1(531,1) 
NODE 713 receives from fiber(node,type): -1(531,1) 
NODE 669 receives from fiber(node,type): -1(531,1) 
NODE 635 receives from fiber(node,type): -1(531,1) 
NODE 566 receives from fiber(node,type): -1(531,1) 
NODE 469 receives from fiber(node,type): -1(531,1) 
NODE 450 receives from fiber(node,type): -1(531,1) 
NODE 335 receives from fiber(node,type): -1(531,1) 
NODE 198 receives from fiber(node,type): -1(531,1) 
NODE 96 receives from fiber(node,type): -1(531,1) 

INSIDE FIBER 372 WITH SIZE 2:
NODE 498 receives from fiber(node,type): -1(500,1) 
NODE 497 receives from fiber(node,type): -1(500,1) 

INSIDE FIBER 387 WITH SIZE 2:
NODE 212 receives from fiber(node,type): -1(441,0) 
NODE 213 receives from fiber(node,type): -1(441,0) 

INSIDE FIBER 425 WITH SIZE 3:
NODE 155 receives from fiber(node,type): 276(572,0) -1(360,0) 425(156,0) 
NODE 156 receives from fiber(node,type): 276(572,0) -1(360,0) 425(156,0) 
NODE 820 receives from fiber(node,type): 276(572,0) -1(360,0) 425(156,0) 

INSIDE FIBER 426 WITH SIZE 2:
NODE 378 receives from fiber(node,type): 426(378,0) -1(326,1) 199(143,0) 
NODE 377 receives from fiber(node,type): 426(378,0) -1(326,1) 199(143,0) 

INSIDE FIBER 432 WITH SIZE 2:
NODE 228 receives from fiber(node,type): 307(239,0) -1(231,1) 
NODE 229 receives from fiber(node,type): 307(239,0) -1(231,1) 

