rrsh-ilev-alav-rrlh-rrfh	660	172
rsed-rpoe-rseabc	661	406
rsta	662	38
rtcba	663	319
rtcr	664	-1
rutabcdefg	665	330
rutr	666	30
ruvab	667	30
ryba-mnts	668	360
rybb	669	341
ryhb	670	11
sbcdc	671	79
sbma-yaiw	672	78
sbmc	673	29
sdaa	674	69
sdia	675	-1
seqa-pgm	676	398
sera	677	238
serc-aroa	678	173
sert	679	64
serx	680	64
sfsa-dksa-gluq	681	110
sgrr	682	30
sgrst-seta	683	49
slp-dctr	684	213
slt	685	78
slya	686	-1
slyb	687	72
soda	688	387
sodb	689	336
sohb	690	100
soxr	691	375
soxs	692	252
speab	693	230
spec	694	100
spf	695	100
spy	696	93
srka-dsba	697	78
ssb	698	35
ssrs-fau	699	251
ssueadcb	700	388
stpa	701	55
sufabcdse	702	337
sula	703	325
sutr	704	72
sxy	705	110
syme	706	30
tala-tktb	707	24
tar-tap-cherbyz	708	67
tauabcd	709	53
tcyp	710	38
tdca	711	370
tdcr	712	-1
tehab	713	341
thru-tyru-glyt-thrt-tufb	714	64
thrw	715	64
tisb	716	30
tnacab	717	58
tolc-ygiabc	718	452
tomb-hha	719	384
tonb	720	8
topa	721	148
torcad	722	60
torr	723	30
tpia	724	19
tpx	725	124
trebc	726	255
trer	727	39
trg	728	147
trma	729	64
trpledcba	730	30
trpr	731	30
trxa	732	100
trxc	733	1
tsga	734	341
tsr	735	79
tsx	736	416
ttdabt	737	78
ttdr	738	78
tyna	739	91
tyrb	740	48
tyrp	741	397
tyrr	742	326
tyrtv-tpr	743	64
ubica	744	373
ubig	745	110
udp	746	142
ugpbaecq	747	99
uhpa	748	-1
uhpt	749	311
uidabc	750	126
uidr	751	30
ulaabcdef	752	308
ulag	753	309
ular	754	-1
umudc	755	30
ung	756	79
upp-uraa	757	67
uspa	758	101
uspb	759	310
uspe	760	82
uvra	761	35
uvrb	762	30
uvrd	763	30
uvry	764	30
uxab	765	132
uxaca	766	129
uxuab	767	268
uxur	768	123
valuxy-lysv	769	64
waah	770	340
wrba-yccj	771	77
xapab	772	306
xapr	773	-1
xdhabc	774	67
xerd-dsbc-recj-prfb-lyss	775	78
xsea	776	84
xylab	777	195
xylr	778	180
yadv-htre	779	320
yaep-rof	780	100
yaeq-arfb-nlpe	781	100
yagk	782	323
ybdn	783	289
ybfe	784	30
ybga-phr	785	30
ybhl	786	21
ybit	787	433
ybjc-nfsa-rimk-ybjn	788	287
ybjg	789	38
ycca	790	78
ycct	791	77
ycdz	792	198
yced-rpmf-plsx-fabhdg-acpp-fabf	793	78
ycgz-ymga-arir-ymgc	794	422
ychh	795	110
ycho	796	128
ycigfe	797	361
yciw	798	38
ycjg	799	327
ycjy-ymjdc-mpaa	800	327
ydbd	801	341
ydbk-ompn	802	115
ydcstuv-patd	803	52
ydea	804	22
ydei	805	324
ydej	806	67
ydenm	807	231
ydeo	808	273
ydep	809	344
ydfh	810	78
ydhyvwxut	811	346
ydiu	812	25
ydiv	813	318
ydjm	814	30
yeae	815	341
yeagh	816	332
year-yoag	817	136
yebe	818	78
yebg	819	30
yedx	820	402
yegh	821	78
yegrz	822	37
yeil	823	266
yeip	824	110
yeiw	825	110
yfdx-frc-oxc-yfdve	826	37
yfip-patz	827	110
yfir-dgcn-yfib	828	21
ygac	829	11
ygba	830	118
ygeh	831	38
yhaj	832	-1
yhbts	833	80
yhdwxyz	834	332
yhfa	835	97
yhgh-nfua	836	292
yhhy	837	11
yhjc	838	78
yhjx	839	304
yiaj	840	386
yiaklmno-lyxk-sgbhue	841	258
yibn-grxc-secb-gpsa	842	110
yidq	843	78
yiis-uspd	844	214
yjef-tsae-amib-mutl-miaa-hfq-hflxkc	845	100
yjev	846	62
yjhbc	847	347
yjjp	848	10
yjjq	849	89
yjjz	850	11
ykgmo	851	302
ykgr	852	110
ymia-ycix	853	21
ynce	854	85
ynfefgh-dmsd	855	120
yoac	856	38
yoji	857	167
ypdb	858	-1
yqae-kbp	859	78
yqhc	860	-1
yqhd-dkga	861	303
yqja-mzra	862	78
yqjh	863	7
yqji	864	43
yrbl	865	429
ysga	866	128
ytfe	867	137
ytfk	868	78
yticd-idlp-irad	869	67
zint	870	300
znta	871	301
zntr	872	-1
znua	873	302
znucb	874	302
zrap	875	296
zrar	876	92
zur	877	-1
zwf	878	247
