316	308	negative
316	642	positive
316	541	positive
316	451	positive
316	72	positive
316	485	positive
316	265	positive
316	673	positive
316	283	positive
316	90	positive
316	535	positive
316	535	negative
316	317	positive
316	446	positive
316	31	positive
316	31	negative
316	197	positive
316	793	positive
316	171	positive
316	656	positive
316	165	negative
316	567	negative
150	483	negative
150	699	negative
150	557	negative
150	427	negative
150	255	negative
150	102	negative
150	388	negative
150	785	negative
385	681	positive
385	401	negative
385	309	positive
385	5	positive
385	140	positive
385	719	negative
385	423	positive
385	854	positive
385	854	negative
385	405	positive
385	267	dual
385	814	positive
385	691	positive
385	464	positive
385	475	positive
385	202	positive
385	766	negative
385	410	positive
385	410	negative
385	212	positive
385	797	negative
385	721	positive
385	566	positive
385	675	positive
385	554	positive
385	705	negative
385	321	negative
385	320	positive
385	680	positive
385	56	positive
385	56	dual
385	865	positive
385	528	positive
385	106	positive
385	380	positive
385	385	negative
385	186	positive
385	236	positive
385	476	positive
385	857	negative
385	342	negative
385	654	negative
385	305	positive
385	396	positive
385	803	positive
385	157	dual
385	379	positive
385	696	positive
385	89	negative
385	147	negative
385	281	dual
385	281	negative
385	293	positive
385	828	negative
385	78	positive
385	635	negative
385	664	negative
385	641	positive
385	804	positive
385	631	positive
385	0	dual
385	386	positive
385	218	negative
385	490	negative
385	116	positive
385	14	positive
385	260	negative
385	231	negative
385	651	positive
385	869	positive
385	543	negative
385	595	positive
385	849	positive
385	507	negative
385	579	positive
385	579	negative
385	138	negative
385	381	positive
385	777	dual
385	871	positive
385	292	positive
385	339	positive
385	130	negative
385	725	negative
385	195	positive
385	308	negative
385	120	positive
385	448	negative
385	765	negative
385	149	negative
385	844	negative
385	210	positive
385	270	positive
385	593	positive
385	19	negative
385	630	negative
385	806	positive
385	792	positive
385	860	positive
385	769	positive
385	794	negative
385	348	positive
385	861	positive
385	512	negative
385	618	negative
385	80	positive
385	739	positive
385	180	negative
385	840	negative
385	229	positive
385	754	negative
420	470	positive
420	420	positive
440	267	negative
440	54	negative
440	457	negative
440	797	negative
440	721	positive
440	685	negative
440	710	dual
440	214	negative
440	586	negative
440	125	negative
440	865	negative
440	758	negative
440	62	negative
440	369	negative
440	528	negative
440	135	negative
440	44	negative
440	712	negative
440	718	negative
440	385	negative
440	657	positive
440	857	negative
440	440	negative
440	305	negative
440	803	dual
440	157	dual
440	89	negative
440	147	negative
440	407	negative
440	281	negative
440	30	negative
440	635	negative
440	73	positive
440	804	positive
440	0	negative
440	821	negative
440	527	negative
440	578	negative
440	516	positive
440	490	negative
440	231	negative
440	360	negative
440	273	negative
440	837	negative
440	441	positive
440	119	negative
440	252	negative
440	213	negative
440	779	negative
440	532	negative
440	765	negative
440	149	negative
440	844	negative
440	636	negative
440	545	positive
440	545	negative
440	717	negative
440	411	negative
440	242	negative
440	542	negative
440	357	positive
440	754	negative
427	163	positive
427	797	positive
427	81	positive
427	557	positive
427	427	positive
427	342	positive
427	654	positive
