Source Target
Spx MgsR
Spx GreA
Spx YjbH
Spx NusA
Spx YlyA
Spx RpoC
Spx PcrA
Spx ClpP
Spx CshA
Spx Btr
Spx RpoB
YtcQ YteP
YtcQ YtcP
RhiF RhiL
HrcA GroEL
NdoA NdoA
FliY FliG
FliY FlhG
Lgt GerD
Lgt GerAC
AcoL AcoB
AcoL AcoA
AcoL AcoC
CheY FliY
CheY CheA
CheY CheC
Map RplW
PdhC PdhB
PdhC PdhA
PdhC PdhD
TrmU YrvO
NtdA NtdA
FluC YhdV
OppA OppF
OppA FloT
OppA OppB
OppA OppC
TsaD TsaB
TsaD TsaE
DeoD DeoD
DnaK PtkA
DnaK PtpZ
DnaK DnaJ
DnaK GrpE
YtrC YtrE
YtrC YtrF
YtrC YtrD
YtrC YtrB
DarA DarA
LytE IseA
LytE MreBH
LytE FtsZ
LytE PbpB
YesZ YesZ
AppD AppF
AppD AppB
SpoIIQ SpoIIE
SpoIIQ GerM
LnrL LnrN
MecA ComS
MecA ClpC
GerBA GerD
GerBA GerAB
GerBA GerBC
GerBA GerKB
GerBA GerKC
GerBA GerBB
GerBA GerAC
GerBA GerKA
GerBA GerAA
GlyS GlyQ
MtnB MtnB
MgsA Crh
YcbM YcbL
YfhA YfiY
YfhA YusV
YfhA YfiZ
TcyL TcyJ
TcyL TcyK
TcyL TcyM
TcyL TcyN
RtpA RtpA
RtpA MtrB
BglP LicT
SigA RpoA
SigA RpoY
SigA MgsR
SigA GreA
SigA ComA
SigA NusA
SigA YlyA
SigA BsrB
SigA RpoC
SigA PcrA
SigA CshA
SigA BsrA
SigA Btr
SigA RpoB
ComEC ComGA
ComEC ComFA
ComEC ComEA
Prs PurR
Hpf Hpf
MinD MinC
MinD DivIVA
MinD MinJ
OppF OppB
OppF OppC
SpoVD SpoVE
YlmB YlmB
SpoIIAA SpoIIE
SpoIIAA SpoIIAB
EfeB EfeU
EfeB EfeO
AhpT AhpA
UvrA Mfd
UvrA UvrB
PhrG RapG
PbpA MreBH
PbpA PbpI
PbpA PbpC
PbpA RodZ
PbpA MreC
PbpA PbpH
PbpA MreB
PbpA RodA
OdhA PdhD
NrdE YosR
NrdE TrxA
NrdE NrdF
YurJ FrlN
YurJ FrlO
PxpC PxpB
YxaL PcrA
EfeU EfeO
MntA MntB
MntA MntD
SigE RpoC
SigE RpoB
DefA RplV
MotP MotP
MotP MotS
PolA DnaN
PolA PolY1
PolA PolY2
SigW RsiW
SigW RpoC
SigW RpoB
FatR PtkA
FatR TkmA
SigI RpoC
SigI RsgI
SigI RpoB
FhuB YxeB
FhuB FhuD
FhuB FhuC
FhuB FhuG
Pta Pta
GerD GerD
GerD GerAB
GerD GerBC
GerD GerKB
GerD GerKC
GerD GerBB
GerD GerAC
GerD GerKA
GerD GerAA
RnjA RnjA
RnjA PnpA
RnjA Rny
RnjA PfkA
RnjA RnjB
RnjA CshA
RnjA GapA
OpuBA OpuBB
OpuBA OpuBC
NasB NasC
FliI FliH
FliI FliJ
Ctc RplA
Ctc RpmA
Ctc RpmC
Ctc RplS
Ctc RpmGC
Ctc RplI
Ctc RplJ
Ctc RplW
Ctc RpsNB
Ctc RplX
Ctc RpmI
Ctc RplT
Ctc RpmD
Ctc RpmF
Ctc RplB
Ctc RpmB
Ctc RplR
Ctc RplM
Ctc RpmGB
Ctc RplO
Ctc RplP
Ctc RpmGA
Ctc RpmEB
Ctc RplL
Ctc RpmH
Ctc RplE
Ctc RplV
Ctc RpmJ
Ctc RplK
Ctc RplC
MreBH PbpI
MreBH PbpC
MreBH RodZ
MreBH MreC
MreBH Mbl
MreBH PbpH
MreBH MreB
MreBH RodA
Fer Des
Fer BioI
FtsZ FtsZ
FtsZ FtsA
FtsZ UgtP
FtsZ SpoIIE
FtsZ MinC
FtsZ EzrA
FtsZ RefZ
FtsZ SepF
FtsZ WalK
FtsZ ZapA
ComGA ComFA
ComGA Maf
ComGA MreB
ComGA RelA
ComGA ComGB
CarA CarB
PbpI PbpC
PbpI RodZ
PbpI MreC
PbpI PbpH
PbpI YrrS
PbpI MreB
PbpI RodA
PstBA PstA
PstBA PstC
PstBA PstS
MsmX AraP
MsmX AraQ
MsmX MdxG
MsmX MdxF
YhdK YhdL
YpbB SsbA
NusG Rho
NusG RpoC
RplA RpmA
RplA RpmC
RplA RplS
RplA RpmGC
RplA RplI
RplA RplJ
RplA RplW
RplA RpsNB
RplA RplX
RplA RpmI
RplA RplT
RplA RpmD
RplA RpmF
RplA RplB
RplA RpmB
RplA RplR
RplA RplM
RplA RpmGB
RplA RplO
RplA RplP
RplA RpmGA
RplA RpmEB
RplA YsxC
RplA CshA
RplA RplL
RplA RpmH
RplA RplE
RplA RplV
RplA RpmJ
RplA RplK
RplA RplC
GltA GltB
GltA Icd
Xpf RpoC
Xpf RpoB
PdhB PdhA
PdhB PdhD
ComFA RecA
ComFA DprA
RpmA RpmC
RpmA RplS
RpmA RpmGC
RpmA RplI
RpmA RplJ
RpmA RplW
RpmA RpsNB
RpmA RplX
RpmA RpmI
RpmA RplT
RpmA RpmD
RpmA RpmF
RpmA RplB
RpmA RpmB
RpmA RplR
RpmA RplM
RpmA RpmGB
RpmA RplO
RpmA RplP
RpmA RpmGA
RpmA RpmEB
RpmA RplL
RpmA RpmH
RpmA RplE
RpmA RplV
RpmA RpmJ
RpmA RplK
RpmA RplC
PsdA PsdB
SprB SprA
GlnQ GlnM
GlnQ GlnH
GlnQ GlnP
FpbP FpbN
FpbP FpbQ
FpbP FpbO
TilS HprT
CotW CotV
CotW CgeA
FliS FlhA
FliS Hag
YwhK PcrA
RarA SsbA
TrpE PabA
AtpG AtpE
AtpG AtpF
AtpG AtpC
AtpG AtpB
AtpG AtpA
AtpG AtpH
ResB ResC
RpmC RplS
RpmC RpmGC
RpmC RplI
RpmC RplJ
RpmC RplW
RpmC RpsNB
RpmC RplX
RpmC RpmI
RpmC RplT
RpmC RpmD
RpmC RpmF
RpmC RplB
RpmC RpmB
RpmC RplR
RpmC RplM
RpmC Tig
RpmC RpmGB
RpmC RplO
RpmC RplP
RpmC RpmGA
RpmC RpmEB
RpmC RplL
RpmC RpmH
RpmC RplE
RpmC RplV
RpmC RpmJ
RpmC RplK
RpmC RplC
CotG CotH
Maf Maf
Maf FtsW
Maf DivIVA
LiaR LiaS
AddA AddB
YesM YesN
Tgl SafA
RecS SsbA
GatC TrnS-Gln
GatC GatB
GatC GatA
NrnA NrnA
RpsU RpsR
BstA BstA
MrfA MrfB
TagH TagG
FliT FliJ
FliT FlhA
FliT FliD
GlmS GlmR
TrxA ArsC
GlnL GlnK
RsiW RasP
RsiW PrsW
AmyC MsmE
FtsH FtsH
FtsH FloT
FtsH SpoIIE
FtsH Spo0M
FtsH Spo0E
FtsH SpoVM
YteP YtcP
CssS CssR
CwlO IseA
CwlO FtsX
PhrH RapH
YtrE YtrF
YtrE YtrD
YtrE YtrB
YkkD YkkC
CymR CysK
YukE YukE
KinD FloT
KinD Spo0F
RplS RpmGC
RplS RplI
RplS RplJ
RplS RplW
RplS RpsNB
RplS RplX
RplS RpmI
RplS RplT
RplS RpmD
RplS RpmF
RplS RplB
RplS RpmB
RplS RplR
RplS RplM
RplS RpmGB
RplS RplO
RplS RplP
RplS RpmGA
RplS RpmEB
RplS RplL
RplS TufA
RplS RpmH
RplS RplE
RplS RplV
RplS RpmJ
RplS RplK
RplS RplC
FeuA FeuB
FeuA YusV
FeuA FeuC
RpmGC RplI
RpmGC RplJ
RpmGC RplW
RpmGC RpsNB
