source target
MSN2 GCV3
SFP1 GCV3
SFP1 GCV3
SPT10 GCV3
SPT3 GCV3
SPT3 GCV3
SSN2 GCV3
SUA7 GCV3
FKH1 BOL1
MED2 BOL1
MED4 BOL1
TFC7 BOL1
YAP6 BOL1
FKH1 BOL3
MED4 BOL3
FKH1 SPC72
MED2 SPC72
MED4 SPC72
TFC7 SPC72
YAP6 SPC72
FKH1 GEM1
RFX1 GEM1
YAP6 GEM1
FHL1 AIM2
RGR1 AIM2
SFP1 AIM2
SRB5 AIM2
STP1 AIM2
TFC7 OAF1
ABF1 FLC2
CBF1 FLC2
MET32 FLC2
MET4 FLC2
RAP1 FLC2
REB1 FLC2
STP1 FLC2
UME6 FLC2
ABF1 ACS1
BUR6 ACS1
CBF1 ACS1
HFI1 ACS1
MED2 ACS1
MET32 ACS1
MET4 ACS1
RAP1 ACS1
RFX1 ACS1
RGR1 ACS1
RSF2 ACS1
STP1 ACS1
UME6 ACS1
UME6 ACS1
UME6 ACS1
USV1 ACS1
ABF1 PEX22
PHD1 PEX22
SPT10 PEX22
GCN5 GPB2
SFP1 GPB2
FKH1 ECM1
SFP1 ECM1
ABF1 BDH1
BAS1 BDH1
BUR6 BDH1
GCR2 BDH1
HSF1 BDH1
RAP1 BDH1
REB1 BDH1
SFP1 BDH1
SPT2 BDH1
SPT20 BDH1
SPT3 BDH1
SUA7 BDH1
YAP1 BDH1
BUR6 BDH2
CST6 BDH2
CYC8 BDH2
MET32 BDH2
MET4 BDH2
SOK2 BDH2
SPT10 BDH2
SUA7 BDH2
YAP1 BDH2
CAD1 GDH3
LEU3 GDH3
MED2 GDH3
MED4 GDH3
MET32 GDH3
MET4 GDH3
SFP1 GDH3
SPT10 GDH3
YAP1 GDH3
YAP1 GDH3
YAP5 GDH3
SFP1 FLO9
SPT10 FLO9
STP1 FLO9
LEU3 TDA8
XBP1 TDA8
YAP5 TDA8
GCN4 YEL009C
TUP1 YCR084C
XBP1 YIL101C
YAP6 YDR259C
GCN4 YEL009C
MED4 YOR174W
SIN4 YNL236W
SPT10 YJL127C
SPT10 YJL127C
TUP1 YCR084C
XBP1 YIL101C
MED4 YOR174W
MSN2 YMR037C
SIN4 YNL236W
SPT10 YJL127C
TUP1 YCR084C
XBP1 YIL101C
MET32 SEO1
MET4 SEO1
SPT10 SEO1
YAP5 SEO1
SPN1 YPR133C
RAP1 PAU8
RAP1 PAU8
SFP1 PAU8
SPT10 PAU8
TUP1 PAU8
RAP1 YNL216W
CIN5 ERP1
FKH1 ERP1
SPT20 NUP60
MBP1 RFA1
MED2 RFA1
MED6 RFA1
SFP1 RFA1
SPT10 RFA1
SPT3 RFA1
YRR1 RFA1
MBP1 SEN34
ABF1 YKL112W
CAD1 YDR423C
CST6 YIL036W
GCR1 YPL075W
GSM1 YJL103C
GTS1 YGL181W
HFI1 YPL254W
MAC1 YMR021C
RAP1 YNL216W
REB1 YBR049C
SIN4 YNL236W
SPT10 YJL127C
SPT20 YOL148C
SPT3 YDR392W
SWI6 YLR182W
TEC1 YBR083W
TUP1 YCR084C
TYE7 YOR344C
CHA4 YLR098C
CST6 YIL036W
GTS1 YGL181W
HFI1 YPL254W
HFI1 YPL254W
HSF1 YGL073W
RAP1 YNL216W
REB1 YBR049C
SIN4 YNL236W
SPT10 YJL127C
SPT20 YOL148C
SPT3 YDR392W
TEC1 YBR083W
TUP1 YCR084C
TYE7 YOR344C
YAP1 YML007W
MED4 BUD14
STE12 BUD14
TEC1 BUD14
XBP1 BUD14
YAP6 BUD14
BAS1 ADE1
CST6 ADE1
GCN4 ADE1
GCR1 ADE1
MED2 ADE1
PHO2 ADE1
RAP1 ADE1
RPD3 ADE1
SPT10 ADE1
SPT10 ADE1
SPT20 ADE1
SPT3 ADE1
STE12 ADE1
TEC1 ADE1
XBP1 ADE1
YAP6 ADE1
BAS1 KIN3
HFI1 KIN3
MCM1 KIN3
PHO2 KIN3
SPT20 KIN3
YHP1 KIN3
YOX1 KIN3
FKH1 CDC15
GCN5 CDC15
GLN3 CDC15
MED2 CDC15
SFP1 CDC15
YAP6 CDC15
RAP1 PAU7
SFP1 PAU7
SPT10 PAU7
SPT10 PAU7
TUP1 PAU7
FKH1 YIL131C
RFX1 YLR176C
TFC7 YOR110W
XBP1 YIL101C
SFP1 UIP3
SPT20 UIP3
FKH1 YIL131C
SFP1 YLR403W
SPT20 YOL148C
CIN5 YOR028C
SFP1 YLR403W
STP1 YDR463W
YAP6 PRM9
RPD3 MST28
SFP1 MST28
TFC7 MST28
UGA3 MST28
MED4 YOR174W
RPD3 YNL330C
YAP1 YML007W
GCR1 YAT1
LEU3 YAT1
MED2 YAT1
MED4 YAT1
MET32 YAT1
MET4 YAT1
MSN2 YAT1
SFP1 YAT1
SPT10 YAT1
SUM1 YAT1
UME6 YAT1
UME6 YAT1
YAP1 YAT1
YAP6 YAT1
BAS1 SWH1
SFP1 SWH1
RFX1 FLO1
SPT10 FLO1
UGA3 FLO1
GCN4 YEL009C
FKH1 YIL131C
GCN4 YEL009C
GCN5 YGR252W
GLN3 YER040W
MED2 YDL005C
MED4 YOR174W
RTG3 YBL103C
SPT10 YJL127C
YAP1 YML007W
YAP6 YDR259C
GCN4 YEL009C
RME1 YGR044C
SPT10 YJL127C
YAP5 YIR018W
FKH1 YIL131C
MED2 YDL005C
MED4 YOR174W
PIP2 YOR363C
RTG3 YBL103C
SPT10 YJL127C
SPT10 YJL127C
XBP1 YIL101C
GCN4 YEL009C
GCN4 YEL009C
SPT10 YJL127C
CBF1 PHO11
CDC73 PHO11
CST6 PHO11
GCN4 PHO11
GCR1 PHO11
GCR2 PHO11
GZF3 PHO11
HFI1 PHO11
HSF1 PHO11
MED2 PHO11
PHO2 PHO11
PUT3 PHO11
RAP1 PHO11
RPN4 PHO11
SFP1 PHO11
SIN3 PHO11
SPT10 PHO11
SPT10 PHO11
SPT20 PHO11
SRB2 PHO11
STP1 PHO11
SUM1 PHO11
XBP1 PHO11
YAP6 PHO11
SFP1 IMD1
SPT10 IMD1
UME6 IMD1
YAP5 IMD1
CST6 YIL036W
GCR1 YPL075W
HSF1 YGL073W
MED4 YOR174W
RAP1 YNL216W
SFP1 YLR403W
SFP1 YLR403W
SPT10 YJL127C
SPT20 YOL148C
XBP1 YIL101C
YAP1 YML007W
YAP6 YDR259C
ABF1 ECM15
BUR6 ECM15
MED2 ECM15
SUA7 ECM15
CST6 HTB2
FKH2 HTB2
GCR1 HTB2
HSF1 HTB2
RAP1 HTB2
REB1 HTB2
SPT10 HTB2
SPT10 HTB2
SPT20 HTB2
STE12 HTB2
TEC1 HTB2
TFC7 HTB2
UME6 HTB2
CST6 HTA2
FKH2 HTA2
GCR1 HTA2
HSF1 HTA2
RAP1 HTA2
REB1 HTA2
SPT10 HTA2
UGA3 HTA2
YAP5 HTA2
HFI1 UTP20
REB1 UTP20
SFP1 UTP20
TFC6 UTP20
YAP6 UTP20
GCN5 PDR3
PDR3 PDR3
SFP1 PDR3
UME6 PDR3
XBP1 PDR3
BAS1 YKR099W
HFI1 YPL254W
HSF1 YGL073W
RAP1 YNL216W
REB1 YBR049C
SIN4 YNL236W
SPT10 YJL127C
SPT20 YOL148C
SPT3 YDR392W
TEC1 YBR083W
TUP1 YCR084C
TYE7 YOR344C
BAS1 YKR099W
HFI1 YPL254W
RAP1 YNL216W
REB1 YBR049C
SIN4 YNL236W
SPT10 YJL127C
SPT20 YOL148C
SPT3 YDR392W
TEC1 YBR083W
TUP1 YCR084C
TYE7 YOR344C
FKH1 LDB7
MED2 LDB7
PDR3 LDB7
SPT10 LDB7
SPT3 LDB7
UME6 LDB7
XBP1 LDB7
ABF1 SLA1
SFP1 SLA1
SUA7 SLA1
CAD1 HIR1
SPT10 HIR1
CAD1 YDR423C
SPT10 ALK2
CYC8 YBR112C
GLN3 YER040W
SPT10 YJL127C
BUR6 SCT1
GCN5 SCT1
GCR1 SCT1
MED2 SCT1
REB1 SCT1
RGR1 SCT1
SPT3 SCT1
SUA7 SCT1
UME6 SCT1
RAP1 FMT1
ABF1 RRN6
SPT10 RRN6
YAP6 RRN6
FKH1 ACH1
GCN5 ACH1
HCM1 ACH1
MED2 ACH1
MED4 ACH1
SPT3 ACH1
SUA7 ACH1
UME6 ACH1
UME6 ACH1
XBP1 ACH1
YAP6 ACH1
FHL1 FUS3
HSF1 FUS3
MED2 FUS3
PUT3 FUS3
SFP1 FUS3
STE12 FUS3
TEC1 FUS3
TYE7 FUS3
GCN5 PEP1
STE12 PEP1
TEC1 PEP1
TYE7 PEP1
CAD1 POP8
PUT3 POP8
SFP1 POP8
XBP1 POP8
YAP6 POP8
RFX1 APN2
MED2 RFT1
SFP1 RFT1
CAD1 HAP3
GCN5 HAP3
MED2 HAP3
XBP1 HAP3
YAP1 HAP3
CAD1 PIM1
LEU3 PIM1
RAP1 PIM1
RAP1 PIM1
RPN4 PIM1
SFP1 PIM1
SPT3 PIM1
SUA7 PIM1
XBP1 PIM1
MED2 MCM2
MSN2 MCM2
CST6 NCL1
HSF1 NCL1
SPT20 NCL1
STP1 NCL1
YAP6 NCL1
SFP1 RRN10
SPT10 RRN10
SPT10 LSM2
ASH1 RPL19B
CST6 RPL19B
FHL1 RPL19B
FKH1 RPL19B
GCR1 RPL19B
HSF1 RPL19B
IFH1 RPL19B
MED2 RPL19B
MED4 RPL19B
MET32 RPL19B
RAP1 RPL19B
SFP1 RPL19B
SPT10 RPL19B
SPT20 RPL19B
XBP1 RPL19B
YAP1 RPL19B
YAP5 RPL19B
YAP6 RPL19B
ABF1 YKL112W
MET32 YDR253C
RAP1 YNL216W
RGR1 YLR071C
SFP1 YLR403W
SPT20 YOL148C
SPT6 YGR116W
UGA3 YDL170W
XBP1 YIL101C
YAP6 YDR259C
GCN5 YGR252W
HAP4 YKL109W
NRG1 YDR043C
PHD1 YKL043W
REB1 YBR049C
RGR1 YLR071C
ROX1 YPR065W
SKO1 YNL167C
SOK2 YMR016C
SWI6 YLR182W
TUP1 YCR084C
UME6 YDR207C
YAP6 YDR259C
HAP4 YKL109W
MET32 YDR253C
NRG1 YDR043C
PHD1 YKL043W
ROX1 YPR065W
SFP1 YLR403W
SKO1 YNL167C
SOK2 YMR016C
SWI6 YLR182W
YAP6 YDR259C
ZAP1 YJL056C
HAP4 PET9
MED2 PET9
MED4 PET9
NRG1 PET9
PHD1 PET9
RAP1 PET9
ROX1 PET9
RPD3 PET9
SKO1 PET9
SOK2 PET9
SRB5 PET9
SWI6 PET9
TFC7 PET9
YAP6 PET9
BUR6 HEK2
CST6 HEK2
GCR1 HEK2
HFI1 HEK2
HSF1 HEK2
MED2 HEK2
MED4 HEK2
RAP1 HEK2
SFP1 HEK2
SIN4 HEK2
SPT20 HEK2
STP1 HEK2
TUP1 HEK2
YAP1 HEK2
YAP1 HEK2
CYC8 RIB1
HFI1 RIB1
MED2 RIB1
MED4 RIB1
RGR1 RIB1
SFP1 RIB1
SPT3 RIB1
STP1 RIB1
SUA7 RIB1
UME6 RIB1
YAP1 RIB1
FHL1 STU1
GCN5 STU1
REB1 STU1
RFX1 STU1
RGR1 STU1
SPT10 STU1
MBP1 POL12
SPT10 POL12
SFP1 YLR403W
SFP1 APL3
ABF1 MRPL16
YAP5 MRPL16
ZAP1 MRPL16
ABF1 URA7
RPD3 URA7
SFP1 URA7
SKN7 URA7
TFC7 MIN6
GCR1 ERD2
MED2 ERD2
MED6 ERD2
REB1 ERD2
RFX1 ERD2
SFP1 ERD2
TFC7 ERD2
ABF1 PRE7
GCN5 PRE7
GCR1 PRE7
MSN2 PRE7
RFX1 PRE7
XBP1 PRE7
FHL1 FUI1
GCN5 FUI1
GZF3 FUI1
MED2 FUI1
REB1 FUI1
RPD3 FUI1
RPN4 FUI1
SFP1 FUI1
UME6 FUI1
XBP1 FUI1
YAP5 FUI1
YAP6 FUI1
MED6 ECM13
RAP1 ECM13
RTG3 ECM13
SFP1 ECM13
SFP1 ECM13
SOK2 ECM13
SPT10 ECM13
TFC7 ECM13
TUP1 ECM13
YAP6 ECM13
FHL1 YPR104C
GCN5 YGR252W
HAP1 YLR256W
HAP4 YKL109W
MSN2 YMR037C
NCB2 YDR397C
RAP1 YNL216W
STP1 YDR463W
SUA7 YPR086W
HAP1 COR1
HAP4 COR1
XBP1 COR1
YAP6 COR1
MED2 PSY4
REB1 PSY4
REB1 PSY4
SFP1 PSY4
SPT10 PSY4
SUA7 PSY4
XBP1 PSY4
REB1 EDE1
SUA7 EDE1
XBP1 EDE1
GCN4 RRT1
MET32 RRT1
MET4 RRT1
SFP1 RRT1
SPT10 RRT1
ZAP1 RRT1
ZAP1 RRT1
ZAP1 RRT1
CAD1 MOH1
GCN4 MOH1
MET32 MOH1
MET4 MOH1
SPT10 MOH1
SUA7 MOH1
YAP6 MOH1
ZAP1 MOH1
ZAP1 MOH1
ZAP1 MOH1
RAP1 SEC17
REB1 SEC17
SUA7 SEC17
YAP6 SEC17
GCN5 PIN4
GCR1 PIN4
MED2 PIN4
REB1 PIN4
SIN4 PIN4
XBP1 PIN4
YAP1 PIN4
HFI1 SAS3
REB1 SAS3
CAD1 TOD6
SFP1 TOD6
SPT10 TOD6
STP1 TOD6
TFC7 TOD6
XBP1 TOD6
YAP5 TOD6
FKH1 YIL131C
LEU3 YLR451W
MED4 YOR174W
REB1 YBR049C
RFX1 YLR176C
RSF2 YJR127C
SPT3 YDR392W
XBP1 YIL101C
CST6 PTC3
MED6 PTC3
SFP1 PTC3
TUP1 PTC3
CTR9 PTH2
XBP1 PTH2
CAD1 SHP1
FKH1 SHP1
GCN5 SHP1
MED4 SHP1
REB1 SHP1
MED6 CMC2
TFC7 CMC2
XBP1 CMC2
MED2 IAI11
MED6 IAI11
SIN4 IAI11
SPT10 IAI11
TYE7 IAI11
UGA3 IAI11
YAP5 IAI11
GCN5 YEL1
SFP1 YEL1
STE12 YEL1
UGA3 YEL1
CAD1 SKT5
RAP1 SKT5
STE12 SKT5
FKH1 KIP1
PUT3 KIP1
RPD3 KIP1
UME6 KIP1
YAP6 KIP1
BUR6 PRX1
CST6 PRX1
MED2 PRX1
PUT3 PRX1
RFX1 PRX1
SIN3 PRX1
SPT10 PRX1
SPT10 PRX1
SUA7 PRX1
TUP1 PRX1
UME6 PRX1
UME6 PRX1
GCN4 YEL009C
SPT10 YJL127C
FKH1 SEF1
SFP1 SEF1
SIN4 SEF1
SPN1 SEF1
SPT2 SEF1
TFC7 SEF1
TUP1 SEF1
UGA3 SEF1
FHL1 UBP13
RFX1 UBP13
XBP1 PRS4
MED4 AST1
SPT10 AST1
GCN4 YEL009C
IFH1 YLR223C
SKN7 YHR206W
STP1 YDR463W
UGA3 YDL170W
XBP1 YIL101C
SWI4 KTI11
XBP1 KTI11
YAP6 KTI11
CST6 RPS8A
GCR1 RPS8A
HFI1 RPS8A
HSF1 RPS8A
IFH1 RPS8A
RAP1 RPS8A
RAP1 RPS8A
SFP1 RPS8A
SIN4 RPS8A
SPT10 RPS8A
SPT20 RPS8A
GCN5 AAR2
MET31 AAR2
SPT3 AAR2
YAP5 AAR2
BUR6 SSA3
GCN5 SSA3
HSF1 SSA3
HSF1 SSA3
MED4 SSA3
SFP1 SSA3
SPT10 SSA3
SUA7 SSA3
XBP1 SSA3
GCN4 ILS1
GCR1 ILS1
REB1 ILS1
SPT3 ILS1
SPT6 ILS1
SPT7 ILS1
XBP1 ILS1
YAP6 ILS1
CST6 YIL036W
GCR1 YPL075W
HSF1 YGL073W
RAP1 YNL216W
REB1 YBR049C
SFP1 YLR403W
SPT10 YJL127C
REB1 ATG8
SRB5 ATG8
SUA7 ATG8
TUP1 ATG8
UGA3 ATG8
UME6 ATG8
ABF1 NUP170
RPD3 NUP170
SPT10 NUP170
SUA7 NUP170
XBP1 NUP170
ABF1 PET112
SUA7 PET112
YAP1 PET112
YAP5 PET112
CST6 YIL036W
SFP1 YLR403W
SIN4 YNL236W
SPT10 YJL127C
CST6 ALG3
GCR1 ALG3
RAP1 ALG3
REB1 ALG3
SPT10 ALG3
CST6 YIL036W
RAP1 YNL216W
SFP1 YLR403W
SPT10 YJL127C
REB1 CDC27
STP1 CDC27
BUR6 BOI1
MED2 BOI1
PHO2 YDL106C
SUA7 YPR086W
CST6 RPL23A
GCR1 RPL23A
HSF1 RPL23A
IFH1 RPL23A
MED2 RPL23A
RAP1 RPL23A
RAP1 RPL23A
RAP1 RPL23A
SFP1 RPL23A
SFP1 RPL23A
SFP1 RPL23A
SPT10 RPL23A
SPT20 RPL23A
YAP6 RPL23A
SUA7 TEL1
YAP5 TEL1
FKH1 AVT5
MED2 AVT5
TFC7 AVT5
YAP6 AVT5
TFC7 MRP21
TFC7 MAP2
BUR6 SCS22
SFP1 SCS22
SUA7 SCS22
CST6 RPL32
FHL1 RPL32
GCR1 RPL32
HFI1 RPL32
HSF1 RPL32
IFH1 RPL32
MET32 RPL32
RAP1 RPL32
RFX1 RPL32
SFP1 RPL32
SFP1 RPL32
SIN3 RPL32
SPT10 RPL32
SPT20 RPL32
YAP6 RPL32
CAD1 ROX3
FHL1 ROX3
MET32 ROX3
RAP1 ROX3
RFX1 ROX3
SFP1 ROX3
XBP1 ROX3
YAP1 ROX3
SFP1 YLR403W
RPD3 MRX3
XBP1 MRX3
SPT10 BRN1
YAP5 BRN1
CDC73 BNA4
HCM1 BNA4
MET32 BNA4
RAP1 BNA4
SIN3 BNA4
SPT10 BNA4
SUM1 BNA4
GCN5 ATP1
