MIR520H CD44
MIR1-1 HDAC4
MIR1-2 HDAC4
MIR200B ZEB2
MIR200C ZEB2
MIR200A ZEB2
MIR205 ZEB2
MIRLET7I CDC25A
MIRLET7A1 CDC25A
MIRLET7A2 CDC25A
MIRLET7F2 CDC25A
MIRLET7B CDC25A
MIRLET7E CDC25A
MIRLET7D CDC25A
MIRLET7F1 CDC25A
MIRLET7G CDC25A
MIRLET7A3 CDC25A
MIRLET7B CDC25B
MIRLET7I CDC25B
MIRLET7A3 CDC25B
MIRLET7G CDC25B
MIRLET7E CDC25B
MIRLET7D CDC25B
MIRLET7F1 CDC25B
MIRLET7A2 CDC25B
MIRLET7F2 CDC25B
MIRLET7A1 CDC25B
MIRLET7F1 CDC25C
MIRLET7A2 CDC25C
MIRLET7D CDC25C
MIRLET7G CDC25C
MIRLET7A1 CDC25C
MIRLET7A3 CDC25C
MIRLET7I CDC25C
MIRLET7F2 CDC25C
MIRLET7E CDC25C
MIRLET7B CDC25C
